indicate,0.188
council,0.75
defense,0.304
educational,0.49
deputy,-0.142
women,0.667
garden,0.54
borough,-0.142
wedding,0.75
dream,0.688
occupied,-0.326
restoration,0.51
character,0.334
probably,0
move,0.312
statistical,0.428
solar,0.244
parliamentary,-0.02
education,0.792
single,-0.418
australian,0.042
star,0.666
covered,0.124
leadership,0.74
temporary,-0.084
violent,-0.776
thus,0
inspired,0.934
east,0.02
operated,0
save,0.54
quarter,0.136
undergraduate,0.166
editorial,0.166
proved,0.524
magazine,0.23
locomotive,0.084
mouth,0.468
session,0.02
falling,-0.596
earl,0.164
distinction,0.168
modern,0.71
continued,0.27
skin,0.138
truck,0.062
letters,0.326
closely,0
remains,0.22
median,-0.082
relative,0
offices,-0.062
family,0.936
numbers,-0.188
brother,0.646
interview,0.146
development,0.654
